Representative,Trimmed_Mean,ReportDate,TransactionDate,Ticker,Transaction,Amount,Party,House,Range,Sentiment,Price,Low_End,High_End,Adjusted_Low_End,Adjusted_High_End,Running_Portfolio_Low_End,Running_Portfolio_High_End,Est_Portfolio_Value,Shares_High_End,Shares_Low_End,Normalized_Amount
Alan S. Lowenthal,745.5811378848728,2021-07-15,2021-07-08,KRE,Sale,1001.0,D,Representatives,1001-15000,,58.81967163,1001.0,15000.0,1001.0,15000.0,134216.09,1120000.0,627108.045,255.0167245807863,17.018116087024474,1.3425768828322575
Alan S. Lowenthal,745.5811378848728,2021-03-23,2021-03-15,COLD,Sale,1001.0,D,Representatives,1001-15000,,34.55070877,1001.0,15000.0,1001.0,15000.0,117110.25,1025000.0,571055.125,434.14449468615055,28.97190927872245,1.3425768828322575
Alan S. Lowenthal,745.5811378848728,2021-03-23,2021-03-15,COLD,Sale,1001.0,D,Representatives,1001-15000,,34.55070877,1001.0,15000.0,1001.0,15000.0,118111.25,1040000.0,579055.625,434.14449468615055,28.97190927872245,1.3425768828322575
Alan S. Lowenthal,745.5811378848728,2021-07-16,2021-07-08,KRE,Sale,1001.0,D,Representatives,1001-15000,,58.81967163,1001.0,15000.0,1001.0,15000.0,133215.09,1105000.0,619107.545,255.0167245807863,17.018116087024474,1.3425768828322575
Alan S. Lowenthal,745.5811378848728,2019-11-08,2019-10-08,QGEN,Sale,1001.0,D,Representatives,1001-15000,,25.40999985,1001.0,15000.0,1001.0,15000.0,150674.48,895000.0,522837.24,590.3187756217166,39.393939626489214,1.3425768828322575
Alan S. Lowenthal,745.5811378848728,2021-06-13,2021-06-03,FIS,Sale,1001.0,D,Representatives,1001-15000,,139.4529877,1001.0,15000.0,1001.0,15000.0,134216.09,1120000.0,627108.045,107.5631311124645,7.178046282905132,1.3425768828322575
Alan S. Lowenthal,745.5811378848728,2021-06-13,2021-06-03,FIS,Sale,1001.0,D,Representatives,1001-15000,,139.4529877,1001.0,15000.0,1001.0,15000.0,118214.09,1055000.0,586607.045,107.5631311124645,7.178046282905132,1.3425768828322575
Alan S. Lowenthal,745.5811378848728,2018-05-20,2018-05-04,GD,Sale,1001.0,D,Representatives,1001-15000,,171.8234253,1001.0,15000.0,1001.0,15000.0,-1045.66,-15000.0,-8022.83,87.29892314630746,5.8257481379635845,1.3425768828322575
Alan S. Lowenthal,745.5811378848728,2018-07-27,2018-07-20,APD,Sale,1001.0,D,Representatives,1001-15000,,137.5214539,1001.0,15000.0,1001.0,15000.0,-857.29,30000.0,14571.355,109.07389047026356,7.278864290715588,1.3425768828322575
Alan S. Lowenthal,745.5811378848728,2020-11-16,2020-11-09,PSQ,Sale,1001.0,D,Representatives,1001-15000,,15.3800745,1001.0,15000.0,1001.0,15000.0,162800.19,1130000.0,646400.095,975.2878635275792,65.08421009274045,1.3425768828322575
Alan S. Lowenthal,745.5811378848728,2018-05-03,2018-04-27,BMRN,Purchase,1001.0,D,Representatives,1001-15000,,84.30999756,1001.0,15000.0,-1001.0,-15000.0,-933.51,-15000.0,-7966.755,-177.91484324649767,-11.872850539316277,1.3425768828322575
Alan S. Lowenthal,745.5811378848728,2018-05-03,2018-04-27,SRE,Purchase,1001.0,D,Representatives,1001-15000,,39.85290527,1001.0,15000.0,-1001.0,-15000.0,-1934.51,-30000.0,-15967.255,-376.384102949993,-25.11736580352953,1.3425768828322575
Alan S. Lowenthal,745.5811378848728,2019-09-01,2019-08-20,ELAN,Sale,1001.0,D,Representatives,1001-15000,,27.26000023,1001.0,15000.0,1001.0,15000.0,144081.87,935000.0,539540.935,550.2567818577014,36.72046924263727,1.3425768828322575
Alan S. Lowenthal,745.5811378848728,2018-12-11,2018-12-03,IEMG,Purchase,1001.0,D,Representatives,1001-15000,,44.1073494,1001.0,15000.0,-1001.0,-15000.0,82383.52,545000.0,313691.76,-340.0793791521737,-22.69463056875506,1.3425768828322575
Alan S. Lowenthal,745.5811378848728,2018-11-17,2018-10-29,APTV,Sale,1001.0,D,Representatives,1001-15000,,75.22570038,1001.0,15000.0,1001.0,15000.0,73556.63,410000.0,241778.315,199.39993810929008,13.306622536493292,1.3425768828322575
Alan S. Lowenthal,745.5811378848728,2018-12-11,2018-11-29,UNH,Purchase,1001.0,D,Representatives,1001-15000,,263.2836609,1001.0,15000.0,-1001.0,-15000.0,102477.78,640000.0,371238.89,-56.97277206160271,-3.801982988910954,1.3425768828322575
Alan S. Lowenthal,745.5811378848728,2018-12-11,2018-11-29,NVS,Purchase,1001.0,D,Representatives,1001-15000,,67.44184113,1001.0,15000.0,-1001.0,-15000.0,103478.78,655000.0,379239.39,-222.4138568679672,-14.842418048322342,1.3425768828322575
Alan S. Lowenthal,745.5811378848728,2018-12-09,2018-12-03,IEMG,Purchase,1001.0,D,Representatives,1001-15000,,44.1073494,1001.0,15000.0,-1001.0,-15000.0,66381.52,480000.0,273190.76,-340.0793791521737,-22.69463056875506,1.3425768828322575
Alan S. Lowenthal,745.5811378848728,2019-04-28,2019-04-15,ICE,Purchase,1001.0,D,Representatives,1001-15000,,74.40743256,1001.0,15000.0,-1001.0,-15000.0,76733.4,615000.0,345866.7,-201.592764108672,-13.452957124852045,1.3425768828322575
Alan S. Lowenthal,745.5811378848728,2019-04-28,2019-04-15,GS,Sale,1001.0,D,Representatives,1001-15000,,179.6885071,1001.0,15000.0,1001.0,15000.0,76073.67,615000.0,345536.835,83.47779299903816,5.5707513861358136,1.3425768828322575
Alan S. Lowenthal,745.5811378848728,2019-06-12,2019-06-04,APD,Sale,1001.0,D,Representatives,1001-15000,,194.1114349,1001.0,15000.0,1001.0,15000.0,130369.7,900000.0,515184.85,77.27520023602689,5.156831695750862,1.3425768828322575
Alan S. Lowenthal,745.5811378848728,2019-05-31,2019-05-23,IEMG,Sale,1001.0,D,Representatives,1001-15000,,42.72193527,1001.0,15000.0,1001.0,15000.0,78074.14,645000.0,361537.07,351.10768988345035,23.43058650488892,1.3425768828322575
Alan S. Lowenthal,745.5811378848728,2019-05-31,2019-05-23,WY,Sale,1001.0,D,Representatives,1001-15000,,19.04899979,1001.0,15000.0,1001.0,15000.0,76602.59,630000.0,353301.295,787.4429190699257,52.54869079926637,1.3425768828322575
Alan S. Lowenthal,745.5811378848728,2019-05-31,2019-05-23,IEMG,Sale,1001.0,D,Representatives,1001-15000,,42.72193527,1001.0,15000.0,1001.0,15000.0,75601.59,615000.0,345300.795,351.10768988345035,23.43058650488892,1.3425768828322575
Alan S. Lowenthal,745.5811378848728,2019-05-31,2019-05-23,OLED,Sale,1001.0,D,Representatives,1001-15000,,146.7479858,1001.0,15000.0,1001.0,15000.0,74142.36,600000.0,337071.18,102.21605372112712,6.821217984989882,1.3425768828322575
Alan S. Lowenthal,745.5811378848728,2019-06-12,2019-06-04,APD,Sale,1001.0,D,Representatives,1001-15000,,194.1114349,1001.0,15000.0,1001.0,15000.0,114367.7,835000.0,474683.85,77.27520023602689,5.156831695750862,1.3425768828322575
Alan S. Lowenthal,745.5811378848728,2019-04-28,2019-04-15,ALC,Sale,1001.0,D,Representatives,1001-15000,,55.33190155,1001.0,15000.0,1001.0,15000.0,77239.6,630000.0,353619.8,271.0913520014387,18.090829556896008,1.3425768828322575
Alan S. Lowenthal,745.5811378848728,2022-10-29,2022-10-21,CCK,Sale,999.64,D,Representatives,999.64,,83.00118256,999.64,,999.64,,262230.73,,,,12.043683826762091,1.3407528023520858
Alan S. Lowenthal,745.5811378848728,2021-03-05,2021-02-22,AZN,Purchase,962.54,D,Representatives,962.54,,47.07944107,962.54,,-962.54,,146021.25,,,,-20.44501757293271,1.2909929598415195
Alan S. Lowenthal,745.5811378848728,2020-10-28,2020-10-15,JPM,Sale,913.23,D,Representatives,913.23,,94.09695435,913.23,,913.23,,177066.09,,,,9.705202536132882,1.2248566300788237
